name,n_pubs,n_clusters,precision,recall,f1
hongbin_liang,183,5,0.99698,0.99818,0.99758
j_yu,265,26,0.45026,0.56783,0.50225
s_yu,61,9,0.78281,0.87374,0.82578
he_ping_li,234,5,0.68481,0.30412,0.42119
song_chen,598,28,0.46426,0.29355,0.35968
jia_xu,609,25,0.75247,0.20399,0.32096
lixin_tang,195,3,0.47730,0.97742,0.64139
guotong_du,220,1,1.00000,1.00000,1.00000
chih_ming_lin,162,9,0.70307,0.31812,0.43804
wensheng_yang,276,3,0.95459,0.97757,0.96594
fosong_wang,356,1,1.00000,1.00000,1.00000
guorong_chen,335,5,0.96514,0.55527,0.70496
bo_ai,225,4,0.94600,0.75347,0.83883
yongjian_tang,198,1,1.00000,1.00000,1.00000
qi_hu,173,13,0.82053,0.61588,0.70363
ping_fu,287,10,0.94825,0.76874,0.84911
geng_yang,292,6,0.99942,0.99919,0.99931
li_zhu_wu,224,2,0.93892,0.99079,0.96416
da_xing,596,3,0.51803,0.46586,0.49057
jian_guo_he,185,4,0.92837,0.79797,0.85825
xiaobing_luo,196,3,0.97494,0.90816,0.94037
yang_shen,485,30,0.74284,0.50716,0.60278
lan_sun,181,6,0.80087,0.58039,0.67303
jian_du,162,15,0.65758,0.58711,0.62035
jianhua_lu,361,5,0.93067,0.69706,0.79710
jing_luo,469,28,0.55642,0.50332,0.52854
zhigang_zeng,235,5,0.98622,0.57893,0.72958
jian_feng,465,19,0.91770,0.96900,0.94265
hua_fu,415,12,0.85083,0.77169,0.80933
mei_xu,98,11,0.78891,0.88377,0.83365
ruijin_liao,236,2,0.91038,0.99113,0.94904
yu_ming_wang,227,10,0.74112,0.53589,0.62201
bo_hong,321,13,0.80684,0.74022,0.77210
weiming_zhu,160,5,0.85207,0.96493,0.90500
xu_xu,555,28,0.73236,0.59771,0.65822
rong_yu,273,9,0.81660,0.43069,0.56394
yong_tian,262,16,0.73459,0.54274,0.62426
lu_han,366,24,0.57489,0.33389,0.42243
lin_huang,553,31,0.84044,0.52992,0.65000
kexin_xu,203,3,0.91235,0.97658,0.94338
wei_quan,174,7,0.46828,0.34233,0.39552
tao_deng,306,15,0.79757,0.44184,0.56866
hongbin_li,286,15,0.70762,0.60261,0.65091
hua_bai,351,11,0.61185,0.31907,0.41942
mei_ling_chen,161,10,0.54165,0.45596,0.49512
yanqing_wang,107,9,0.67552,0.62727,0.65051
xu_dong_zhang,224,6,0.66771,0.31738,0.43025
qiang_shi,241,17,0.55352,0.42296,0.47951
min_zheng,523,28,0.53537,0.19355,0.28432
yue_tian,127,5,0.91176,0.70767,0.79685
jian_shao,162,7,0.90616,0.63911,0.74956
tian_chen,180,14,0.66640,0.53397,0.59288
yan_yan_li,103,7,0.80088,0.69582,0.74466
xue_qin,224,5,0.90781,0.94116,0.92419
ming_shi,262,9,0.91422,0.25986,0.40469
chunyan_liu,222,6,0.60698,0.30817,0.40879
shuai_yuan,310,16,0.64889,0.44662,0.52908
wen_chang_chen,301,3,0.98580,0.62088,0.76190
minghui_li,173,8,0.76667,0.39526,0.52161
kwok_fai_so,229,2,0.91160,0.56481,0.69748
yin_shi,169,3,0.98505,0.99622,0.99060
rong_lu,205,16,0.77886,0.84381,0.81004
s_lin,71,9,0.85588,0.93569,0.89401
shengkai_gong,238,1,1.00000,1.00000,1.00000
yong_qing_huang,196,4,0.59658,0.59380,0.59519
jie_jiang,558,28,0.50727,0.56290,0.53364
xiao_ning_zhang,186,8,0.87781,0.64261,0.74202
chun_hung_lin,217,5,0.60816,0.32768,0.42589
xiao_juan_li,100,9,0.72204,0.45304,0.55675
fei_sun,357,21,0.62962,0.38583,0.47846
yongqing_huang,352,2,0.96630,0.99422,0.98006
zhifeng_liu,340,10,0.83603,0.69027,0.75619
su_zeng,253,2,0.95171,0.92203,0.93664
lei_song,700,34,0.61868,0.74040,0.67409
mian_chen,185,2,0.98855,0.99926,0.99388
fuchu_he,274,1,1.00000,1.00000,1.00000
shuang_song,154,8,0.89989,0.79497,0.84418
hongtao_liu,328,11,0.56691,0.14616,0.23240
c_y_huang,203,24,0.52577,0.74894,0.61781
s_c_wu,208,14,0.75385,0.62003,0.68043
wei_jun_zhang,200,3,0.49673,0.44606,0.47003
jiamo_fu,364,2,0.97431,0.56948,0.71882
hong_fan,366,16,0.76973,0.67412,0.71876
h_xie,105,13,0.73796,0.80632,0.77062
dan_sun,204,16,0.77307,0.83165,0.80129
shui_wang,305,9,0.54527,0.68273,0.60630
feng_teng,228,2,0.99508,0.87300,0.93005
j_h_lin,189,12,0.88920,0.96314,0.92469
lili_ma,133,5,0.75687,0.34308,0.47214
yongqing_li,150,6,0.75127,0.36012,0.48687
yin_wu,179,6,0.77249,0.47540,0.58858
junling_wang,157,8,0.68852,0.48478,0.56897
jian_ping_wang,399,19,0.53355,0.10758,0.17906
ping_sun,524,30,0.53840,0.54832,0.54331
jianqiang_yi,226,3,0.47934,0.49326,0.48620
philip_kam_tao_li,245,3,0.89033,0.50054,0.64081
dandan_zhang,162,15,0.55455,0.39525,0.46154
yun_zhou,607,23,0.67007,0.22946,0.34185
weiwei_li,259,14,0.46970,0.33924,0.39395
xi_huang,269,11,0.79148,0.74552,0.76781
average,,,0.76793,0.63195,0.69334
